gene_ontology_primary_id	gene_ontology_name	gene_ontology_all_ids	gene
GO:0006081	cellular aldehyde metabolic process	GO:0006081;GO:0019682	AT1G67280
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G01090
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G24180
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G59900
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT5G50850
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G79750
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT2G13560
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT2G19900
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT4G00570
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT5G11670
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G09780
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G12000
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G12900
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G13440
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G16300
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G18270
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G30120
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G32440
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G34430
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G42970
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G47840
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G50460
GO:0006090	pyruvate metabolic process	GO:0006090;GO:0006096;GO:0006165;GO:0006757;GO:0009132;GO:0009135;GO:0009179;GO:0009185;GO:0046031;GO:0046939	AT1G54220
